Nome;Apelido;Email;Concelho;Escola
Marcos;Canhoto;marcos.canhoto@yopmail.com;Odivelas;Escola Profissional Agrícola D. Dinis - Paiã
Andreia;Formiga;andreia.formiga@yopmail.com;Odivelas;Escola Secundária Braamcamp Freire
Ana;Pereira;ana.pereira@yopmail.com;Odivelas;Escola Secundária da Ramada
Andre;Almeida;andre.almeida@yopmail.com;Odivelas;Escola Secundária da Ramada
Sergio;Ferreira;sergio.ferreira@yopmail.com;Odivelas;Escola Secundária da Ramada
Carlos;Moreira;carlos.moreira@yopmail.com;Odivelas;Escola Secundária de Caneças
Diogo;Correia;diogo.correia@yopmail.com;Odivelas;Escola Secundária Pedro Alexandrino
Filipe;Pires;filipe.pires@yopmail.com;Odivelas;Escola Secundária Pedro Alexandrino
Gabriel;Moreira;gabriel.moreira@yopmail.com;Odivelas;Escola Secundária Pedro Alexandrino
Maria;Soares;maria.soares@yopmail.com;Odivelas;Escola Secundária Pedro Alexandrino
Valedir;Martins;valedir.martins@yopmail.com;Odivelas;Escola Secundária Pedro Alexandrino
Vítor;Silva;vítor.silva@yopmail.com;Oeiras;Escola Básica e Secundária Amélia Rey Colaço
Vítor;Fernandez;vítor.fernandez@yopmail.com;Oeiras;Escola Básica e Secundária Aquilino Ribeiro
Joao;Torres;joao.torres@yopmail.com;Oeiras;Escola Profissional Val do Rio
Susana;Mateus;susana.mateus@yopmail.com;Oeiras;Escola Profissional Val do Rio
Joao;Beselga;joao.beselga@yopmail.com;Oeiras;Escola Secundária Camilo Castelo Branco
Andreia;Damasio;andreia.damasio@yopmail.com;Oeiras;Escola Secundária da Quinta do Marquês
Diana;Jesus;diana.jesus@yopmail.com;Oeiras;Escola Secundária da Quinta do Marquês
Luis;Xavier;luis.xavier@yopmail.com;Oeiras;Escola Secundária da Quinta do Marquês
Sara;Dias;sara.dias@yopmail.com;Oeiras;Escola Secundária da Quinta do Marquês
Tiago;Fonseca;tiago.fonseca@yopmail.com;Oeiras;Escola Secundária da Quinta do Marquês
Francisco;Simoes;francisco.simoes@yopmail.com;Oeiras;Escola Secundária de Miraflores
Oana;Murilhas;oana.murilhas@yopmail.com;Oeiras;Escola Secundária de Miraflores
Ricardo;Rosa;ricardo.rosa@yopmail.com;Oeiras;Escola Secundária de Miraflores
Tiago;Silveira;tiago.silveira@yopmail.com;Oeiras;Escola Secundária de Miraflores
Vanilson;Alves;vanilson.alves@yopmail.com;Oeiras;Escola Secundária de Miraflores
Wilson;Silva;wilson.silva@yopmail.com;Oeiras;Escola Secundária de Miraflores
Andreia;Amador;andreia.amador@yopmail.com;Oeiras;Escola Secundária Luís de Freitas Branco
Joana;Matos;joana.matos@yopmail.com;Oeiras;Escola Secundária Luís de Freitas Branco
Sergio;Goncalves;sergio.goncalves@yopmail.com;Oeiras;Escola Secundária Luís de Freitas Branco
Vanda;Lehaceanu;vanda.lehaceanu@yopmail.com;Oeiras;Escola Secundária Luís de Freitas Branco
Alina;Andrade;alina.andrade@yopmail.com;Oeiras;Escola Secundária Professor José Augusto Lucas
Frederico;Freitas;frederico.freitas@yopmail.com;Oeiras;Escola Secundária Professor José Augusto Lucas
Vicente;Lourenço;vicente.lourenço@yopmail.com;Oeiras;Escola Secundária Professor José Augusto Lucas
Daniel;Gil;daniel.gil@yopmail.com;Oeiras;Escola Secundária Sebastião e Silva
Diogo;Santos;diogo.santos@yopmail.com;Oeiras;Escola Secundária Sebastião e Silva
Fabio;Cruz;fabio.cruz@yopmail.com;Oeiras;Escola Secundária Sebastião e Silva
